CÓDIGO DEPARTAMENTO,DEPARTAMENTO,PROVINCIA,CÓDIGO MUNICIPIO,MUNICIPIO,CODIGO DANE INSTITUCION EDUCATIVA,NOMBRE INSTITUCION EDUCATIVA,CODIGO DANE SEDE,NOMBRE SEDE EDUCATIVA,ZONA,LATITUD,LONGITUD,FECHA DE CORTE
15,BOYACÁ,LENGUPÁ,15135,CAMPOHERMOSO,215135000236,I.E. TECNICA MARIA AUXILIADORA,215135000317,ESC RUR HOYA GRANDE SAN JOSE,RURAL,5.043713442,-73.22386271,"Tuesday, April 16, 2024"
15,BOYACÁ,LENGUPÁ,15135,CAMPOHERMOSO,315135000338,I.E. NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000091,ESC RUR HUERTA VIEJA ARRIBA,RURAL,5.029722,-73.096389,"Tuesday, April 16, 2024"
15,BOYACÁ,LENGUPÁ,15135,CAMPOHERMOSO,315135000338,I.E. NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000074,ESC RUR YOTEGUENGUE,RURAL,5.004722,-73.050278,"Tuesday, April 16, 2024"
15,BOYACÁ,LENGUPÁ,15135,CAMPOHERMOSO,215135000236,I.E. TECNICA MARIA AUXILIADORA,215135000236,I.E. TECNICA MARIA AUXILIADORA - SEDE PRINCIPAL,RURAL,5.013333,-73.105,"Tuesday, April 16, 2024"
15,BOYACÁ,TUNDAMA,15162,CERINZA,115162000120,I.E. DE CERINZA,215162000035,ESC RUR COBAGOTE,RURAL,5.944737,-72.969455,"Tuesday, April 16, 2024"
15,BOYACÁ,TUNDAMA,15162,CERINZA,115162000120,I.E. DE CERINZA,215162000086,ESC RUR NOVARE,RURAL,5.93692208,-72.94243128,"Tuesday, April 16, 2024"
15,BOYACÁ,NEIRA,15172,CHINAVITA,315172000020,I.E. TECNICA NUESTRA SEÑORA DE NAZARETH,215172000076,ESC ZANJA ABAJO,RURAL,5.1425,-73.359722,"Tuesday, April 16, 2024"
15,BOYACÁ,NEIRA,15172,CHINAVITA,315172000020,I.E. TECNICA NUESTRA SEÑORA DE NAZARETH,215172000084,ESC ZANJA ARRIBA,RURAL,5.154493535,-73.34919658,"Tuesday, April 16, 2024"
15,BOYACÁ,NEIRA,15172,CHINAVITA,215172000050,I.E. JUAN DE JESUS ACEVEDO,215172000050,I.E. JUAN DE JESUS ACEVEDO - SEDE PRINCIPAL,RURAL,5.166111,-73.356389,"Tuesday, April 16, 2024"
15,BOYACÁ,NEIRA,15172,CHINAVITA,215172000050,I.E. JUAN DE JESUS ACEVEDO,215172000131,NSTRA SRA DEL CARMEN,RURAL,5.216111,-73.347778,"Tuesday, April 16, 2024"
